kind,g,a,c,r,k,score,status
IDENTITY,0.022422,1.000000,0.011211,0.500000,1.000000,0.506726,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.654545,0.430909,DENY
REAL,0.091743,1.000000,0.041322,0.500000,0.457831,0.418179,DENY
SWAP,0.075188,0.819549,0.041322,0.500000,0.457831,0.378778,DENY
SHUFFLE,0.091743,1.000000,0.041322,0.407407,0.038462,0.315787,DENY
IDENTITY,0.091743,1.000000,0.045872,0.500000,1.000000,0.527523,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.457831,0.391566,DENY
REAL,0.006250,0.925000,0.003247,0.482143,0.471698,0.377668,DENY
SWAP,0.006757,1.000000,0.003247,0.517857,0.471698,0.399912,DENY
SHUFFLE,0.006250,0.925000,0.003247,0.487500,0.032787,0.290957,DENY
IDENTITY,0.006250,1.000000,0.003125,0.500000,1.000000,0.501875,DENY
STRIP_CTX,0.000000,0.925000,0.000000,0.500000,0.471698,0.379340,DENY
REAL,0.079365,1.000000,0.036496,0.500000,0.495050,0.422182,DENY
SWAP,0.067568,0.851351,0.036496,0.500000,0.495050,0.390093,DENY
SHUFFLE,0.079365,1.000000,0.036496,0.392857,0.015267,0.304797,DENY
IDENTITY,0.079365,1.000000,0.039683,0.500000,1.000000,0.523810,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.495050,0.399010,DENY
REAL,0.037383,1.000000,0.017493,0.477778,0.601449,0.426821,DENY
SWAP,0.032877,0.879452,0.017493,0.522222,0.601449,0.410699,DENY
SHUFFLE,0.037383,1.000000,0.017493,0.452703,0.054217,0.312359,DENY
IDENTITY,0.037383,1.000000,0.018692,0.500000,1.000000,0.511215,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.601449,0.420290,DENY
REAL,0.041667,1.000000,0.018692,0.500000,0.598039,0.431679,DENY
SWAP,0.033898,0.813559,0.018692,0.500000,0.598039,0.392838,DENY
SHUFFLE,0.041667,1.000000,0.018692,0.437500,0.052632,0.310098,DENY
IDENTITY,0.041667,1.000000,0.020833,0.500000,1.000000,0.512500,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.598039,0.419608,DENY
REAL,0.048780,0.804878,0.027027,0.450000,0.490000,0.364137,DENY
SWAP,0.060606,1.000000,0.027027,0.550000,0.490000,0.425527,DENY
